Name,Abreviattion,Abreviattion1
Abdías,Abd,Ab
Amós,Am,
Apocalipsis,Ap,
Cantares,Cnt,Ct
Colosenses,Col,
Corintios,Co,
Corintios,Co,
Corinto,Co
Crónicas,Cr,Cro
Daniel,Dn,
Deuteronomio,Dt,
Eclesiasticos,Ec,Qo
Eclesiástico,Ec,Qo
Efesios,Ef,
Esdras,Esd,
Ester,Est,
Ezequiel,Ez,
Filemón,Flm,
Filipenses,Flp,
Gálatas,Gl,Ga
Génesis,Gn,
Habacuc,Hab,Ha
Hageo,Hag,Ag
Hebreos,Heb,Hb
Hechos,Hch,
Isaías,Is,
Jeremías,Jer,Jr
Job,Job,Jb
Joel,Jl,
Jonás,Jon,
Josué,Jos,
Juan,Jn,
Juan,Jn,
Judas,Jud,
Jueces,Jue,
Lamentaciones,Lm,
Levítico,Lv,
Lucas,Lc,
Malaquías,Mal,Ml
Marcos,Mc,
Mateo,Mt,
Miqueas,Miq,Mi
Nahúm,Nah,Na
Nehemías,Neh,Ne
Números,Nm,
Oseas,Os,
Pedro,Pe,
Proverbios,Pr,
Reyes,R,
Roma,Rm,
Romanos,Rm,
Rut,Rt,
Sabiduría, Sab,
Salmo responsorial,Sal
Salmo,Sal,
Samuel,S,
Santiago,Stg,St
Sofonías,Sof,So
Tesalonicenses,Ts,
Tesalónica,Ts,
Timoteo,Ti,1 Tm
Tito,Tit,Tt
Zacarías,Zac,Za
Éxodo,Ex,
